序号|Marks|Scored Time|CPU Frequency
1|5082|3489.0877 ms|4016.97 MHz
2|5109|3480.0257 ms|4016.91 MHz
3|5040|3557.0305 ms|4052.54 MHz
4|5085|3489.004 ms|4056.3 MHz
5|5111|3475.0589 ms|4048.76 MHz
6|5126|3472.0687 ms|4052.13 MHz
7|5110|3478.0621 ms|4049.88 MHz
8|5110|3475.0161 ms|4050.82 MHz
9|5078|3529.0181 ms|4047.58 MHz
10|5056|3516.0808 ms|3997.75 MHz
11|5038|3529.0843 ms|3987.46 MHz
12|5063|3496.0707 ms|4011.14 MHz
13|5030|3524.0716 ms|4053.43 MHz
14|5091|3490.0726 ms|4020.53 MHz
15|5019|3527.0427 ms|4051.01 MHz
