序号|Marks|Scored Time|CPU Frequency
1|3730|4821.0727 ms|4019.66 MHz
2|3737|4766.0052 ms|4022.6 MHz
3|3729|4773.065 ms|4047.59 MHz
4|3743|4793.0985 ms|4048.85 MHz
5|3733|4767.0952 ms|4023.25 MHz
6|3728|4770.0524 ms|4050.08 MHz
7|3733|4764.0968 ms|4049.13 MHz
8|3733|4780.0314 ms|4047.42 MHz
9|3701|4780.0538 ms|4023.57 MHz
10|3739|4762.0601 ms|4022.63 MHz
11|3738|4758.0837 ms|4048.67 MHz
12|3727|4765.0586 ms|4047.76 MHz
13|3741|4758.0061 ms|4049.19 MHz
14|3654|4849.0629 ms|4046.88 MHz
15|3698|4764.0698 ms|4046.93 MHz
