序号|Marks|Scored Time|CPU Frequency
1|9151|1798.0221 ms|4005.11 MHz
2|9140|1797.0598 ms|4050.86 MHz
3|9133|1782.0456 ms|4053.89 MHz
4|9084|1779.0259 ms|3980.72 MHz
5|9032|1810.0562 ms|3988 MHz
6|9138|1765.0838 ms|4052.65 MHz
7|9112|1798.0681 ms|3980.62 MHz
8|9063|1819.0317 ms|4054.06 MHz
9|9092|1782.099 ms|4049.88 MHz
10|9158|1774.0487 ms|4053.22 MHz
11|9034|1816.0016 ms|3987.52 MHz
12|9068|1816.0133 ms|4051.08 MHz
13|9041|1814.0499 ms|4054.63 MHz
14|9082|1796.0954 ms|4047.37 MHz
15|9144|1783.0103 ms|4049.65 MHz
16|9143|1786.0413 ms|4049.45 MHz
17|9045|1804.0563 ms|3981.78 MHz
