序号|Marks|Scored Time|CPU Frequency
1|7825|2131.0932 ms|3994.25 MHz
2|7805|2152.0498 ms|4052.03 MHz
3|7821|2137.0637 ms|4053.37 MHz
4|7797|2127.0968 ms|4054.59 MHz
5|7879|2111.0306 ms|4000.17 MHz
6|7812|2131.0734 ms|4001.57 MHz
7|7848|2126.0859 ms|4053.9 MHz
8|7830|2129.0439 ms|4004.43 MHz
9|7903|2079.081 ms|4003.18 MHz
10|7799|2137.0601 ms|4052.79 MHz
11|7834|2119.0349 ms|3994.12 MHz
12|7854|2102.0974 ms|3993.06 MHz
13|7867|2128.0717 ms|3955.91 MHz
14|7815|2136.0459 ms|4000.29 MHz
15|7911|2097.0945 ms|3991.96 MHz
