序号|Marks|Scored Time|CPU Frequency
1|5111|3482.054 ms|4038.71 MHz
2|5071|3498.069 ms|4015.46 MHz
3|5113|3477.0115 ms|4016.59 MHz
4|5073|3495.088 ms|4055.43 MHz
5|5068|3505.0323 ms|4016.81 MHz
6|5124|3489.0352 ms|4016.75 MHz
7|5117|3475.0768 ms|4052.25 MHz
8|5055|3484.0427 ms|4048.67 MHz
9|5089|3482.0133 ms|4049.67 MHz
10|4988|3571.0455 ms|4049.35 MHz
11|5087|3487.0754 ms|4050.91 MHz
12|5091|3504.0582 ms|4048.05 MHz
13|5084|3501.0934 ms|3996.23 MHz
14|5040|3521.0332 ms|3991.43 MHz
15|5075|3504.08 ms|3992.2 MHz
