序号|Marks|Scored Time|CPU Frequency
1|3059|6540.0481 ms|4038.33 MHz
2|3063|6449.0042 ms|4047.79 MHz
3|3054|6548.0824 ms|4047.34 MHz
4|2950|6703.0632 ms|4047.53 MHz
5|3081|6244.0902 ms|4028.04 MHz
6|3062|6594.0877 ms|4048.69 MHz
7|3079|6275.0018 ms|4049.48 MHz
8|3073|6384.031 ms|4032.65 MHz
9|2919|6851.0798 ms|4027.68 MHz
10|2996|6581.0234 ms|4046.04 MHz
11|3053|6546.0901 ms|4047.95 MHz
12|3051|6557.0005 ms|4046.3 MHz
13|3020|6538.0005 ms|4049.18 MHz
14|3100|6274.0338 ms|4025.84 MHz
15|3061|6529.0205 ms|4027.53 MHz
16|2989|6685.0853 ms|4046.36 MHz
17|3057|6549.0179 ms|4027.43 MHz
18|2952|6776.0863 ms|4048.05 MHz
19|3090|6528.0192 ms|4026.73 MHz
20|2915|6888.0051 ms|4046.96 MHz
21|3070|6413.0014 ms|4047.59 MHz
22|2935|6407.0088 ms|4028.02 MHz
23|3062|6473.0308 ms|4034.05 MHz
24|2972|6787.0735 ms|4029.06 MHz
25|3011|6505.0138 ms|4028.56 MHz
26|2987|6327.0974 ms|4046.74 MHz
27|3010|6517.0569 ms|4038.08 MHz
28|3062|6491.0524 ms|4048.42 MHz
29|3156|6236.0795 ms|4040.48 MHz
30|3059|6496.0383 ms|4028.83 MHz
31|3068|6447.0471 ms|4029.34 MHz
32|3059|6528.0065 ms|4048.89 MHz
33|2985|6671.0038 ms|4028.56 MHz
34|3058|6545.0231 ms|4029.6 MHz
35|3055|6543.0336 ms|4048.9 MHz
36|3061|6543.0742 ms|4048.59 MHz
37|2987|6661.0098 ms|4050.07 MHz
38|3082|6226.0824 ms|4049.04 MHz
39|2965|6732.0307 ms|4050.07 MHz
40|3045|6517.0592 ms|4048.51 MHz
41|3182|6189.0077 ms|4047.8 MHz
42|3069|6547.0644 ms|4048.71 MHz
43|3080|6368.0952 ms|4048.99 MHz
44|2972|6769.0584 ms|4048.62 MHz
45|3077|6363.013 ms|4028.65 MHz
46|3056|6544.0808 ms|4047.71 MHz
47|3055|6302.0994 ms|4048.27 MHz
48|3078|6361.0116 ms|4049.3 MHz
49|3053|6550.0005 ms|4048.57 MHz
50|3080|6345.0952 ms|4048.85 MHz
51|3052|6541.0802 ms|4047.69 MHz
