序号|Marks|Scored Time|CPU Frequency
1|8719|1900.0596 ms|4011.81 MHz
2|8747|1864.074 ms|4054.4 MHz
3|8664|1921.0339 ms|3987.85 MHz
4|8743|1925.0885 ms|4053.96 MHz
5|8731|1918.0327 ms|4053.45 MHz
6|8729|1899.0419 ms|4052.49 MHz
7|8746|1901.0711 ms|4052.96 MHz
8|8646|1932.004 ms|4052.91 MHz
9|8761|1877.0186 ms|3986.8 MHz
10|8620|1904.0632 ms|4054.96 MHz
11|8759|1877.0848 ms|4054.74 MHz
12|8699|1910.0406 ms|4053.98 MHz
13|8712|1909.0644 ms|4054.27 MHz
14|8729|1893.0786 ms|4054.24 MHz
15|8756|1891.0389 ms|4055.85 MHz
