序号|Marks|Scored Time|CPU Frequency
1|463|41597.054 ms|4049.8 MHz
2|463|41611.0455 ms|4052.36 MHz
3|462|41620.0821 ms|4052.05 MHz
4|463|41616.0401 ms|4050.88 MHz
5|462|41638.0679 ms|4051.04 MHz
6|463|41653.0674 ms|4049.51 MHz
7|462|41662.0125 ms|4050.26 MHz
8|463|41593.0601 ms|4051.18 MHz
9|463|41605.0983 ms|4049.08 MHz
10|462|41627.0612 ms|4051.98 MHz
11|463|41607.0955 ms|4053.24 MHz
12|463|41611.0327 ms|4053.35 MHz
13|463|41624.0569 ms|4053.3 MHz
14|463|41608.0288 ms|4052.41 MHz
15|463|41596.0434 ms|4053.6 MHz
