序号|Marks|Scored Time|CPU Frequency
1|2981|6210.0709 ms|4028.89 MHz
2|2982|6204.0904 ms|4049.75 MHz
3|2976|6211.0181 ms|4048.15 MHz
4|2970|6211.0632 ms|4047.89 MHz
5|2968|6215.0947 ms|4049.9 MHz
6|2948|6215.0866 ms|4049.99 MHz
7|2974|6232.0629 ms|4050.57 MHz
8|2978|6274.017 ms|4050.63 MHz
9|2980|6211.0763 ms|4030.25 MHz
10|2950|6221.0512 ms|4050.52 MHz
11|2981|6210.0635 ms|4047.91 MHz
12|2964|6334.049 ms|4048.1 MHz
13|2982|6207.0981 ms|4048.74 MHz
14|2945|6214.0613 ms|4050.75 MHz
15|2974|6207.0926 ms|4048.83 MHz
